process,family,selection_strategy,series_count,mean_validation_rmse,mean_test_rmse,mean_rule_count,mean_dimension,mean_empirical_risk,mean_gaussian_kl,mean_total_kl,mean_certificate_familywise,median_certificate_familywise,vacuous_familywise,mean_certificate_pointwise,mean_zero_prior_certificate,mean_certification_clipping,mean_test_clipping
ar2,dense_tsk,certificate,5,0.8468300316603645,0.9076507322997364,1.0,4.0,0.0225667162641029,0.28745149351195476,10.286005055420233,0.11539903019698441,0.1147170425995311,0,0.10406170559144386,0.12320106132954493,0.006166666666666641,0.0035000000000000005
ar2,dense_tsk,validation_rmse,5,0.8454043753613008,0.912558635467484,1.6,13.6,0.029561129779504626,2.4465495815090224,12.860991451753268,0.12707904939132025,0.1255980261284109,0,0.11858066304864771,0.14046723200566238,0.006166666666666641,0.0035000000000000005
ar2,fixed_k_dense_tsk,certificate,5,0.8489717023354004,0.9100138706600844,2.0,8.0,0.02630035932898932,1.3241972568667026,9.618002726536554,0.1169059988322585,0.1143786287027985,0,0.105568674226718,0.12972422740144932,0.006166666666666641,0.0035000000000000005
ar2,fixed_k_dense_tsk,validation_rmse,5,0.8478595512685752,0.9138999356710386,2.4,14.8,0.02766590152904378,3.9352845917600705,12.5063489336539,0.12415373625289745,0.122929167085843,0,0.11459734013466467,0.13976850290822992,0.006166666666666641,0.0035000000000000005
ar2,ridge,certificate,5,0.8468300307962615,0.9076506362636911,1.0,4.0,0.02256684331990032,0.2873191219299729,7.19507440091211,0.10509605507108803,0.1044117462537713,0,0.0937587304655475,0.11804968823814779,0.006166666666666641,0.0035000000000000005
ar2,ridge,validation_rmse,5,0.8459418229069016,0.9098341679646683,1.0,11.2,0.026133519808903383,1.5244064037449927,8.43216168272713,0.11278635583280783,0.1087338770375178,0,0.10144903122726727,0.13052139949117425,0.006166666666666641,0.0035000000000000005
ar2,sparse_tsk,certificate,5,0.8468300316603645,0.9076507322997364,1.0,4.0,0.0225667162641029,0.28745149351195476,10.286005055420233,0.11539903019698441,0.1147170425995311,0,0.10406170559144386,0.12320106132954493,0.006166666666666641,0.0035000000000000005
ar2,sparse_tsk,validation_rmse,5,0.8454080721656236,0.9125557236076203,1.6,13.6,0.029559310632999602,2.4538718384143015,12.868313708658548,0.12708943400632405,0.1255980261284109,0,0.11859104766365147,0.14046690616427132,0.006166666666666641,0.0035000000000000005
garch,dense_tsk,certificate,5,1.0515626521201076,1.0411082548598534,1.0,4.0,0.010815292036868259,0.42440570972225666,10.422959271630535,0.10403765521960942,0.1038267036438004,0,0.09276679541824354,0.102828489422322,0.00249999999999998,0.002
garch,dense_tsk,validation_rmse,5,1.0449204119536897,1.0926096186806844,3.0,14.4,0.01274415779275442,2.273781725593308,13.658629648621476,0.11141648728168632,0.1113123234657795,0,0.10234662759725392,0.10861704616829007,0.00249999999999998,0.002
garch,fixed_k_dense_tsk,certificate,5,1.0502743690227894,1.0518187681947773,2.0,10.8,0.012731137225685418,1.2253144718389102,9.519119941508762,0.10271829756070912,0.1012959366129285,0,0.0916698428399881,0.09967536534886898,0.00249999999999998,0.002
garch,fixed_k_dense_tsk,validation_rmse,5,1.0424992470138386,1.0962529518117876,4.0,24.0,0.014171039120124379,3.1659516145815747,12.84605144537132,0.11117209971924638,0.1080606399553228,0,0.10254716547532816,0.10713432703586401,0.00249999999999998,0.002
garch,ridge,certificate,5,1.0515626681689605,1.0411082711443145,1.0,4.0,0.01081528613286158,0.42496872019788173,7.332723999180018,0.09380332987827567,0.0935268498253259,0,0.08246600527273514,0.09252531421401056,0.00249999999999998,0.002
garch,ridge,validation_rmse,5,1.0508977216633868,1.039778512628423,1.0,4.4,0.01100918361217028,0.44960440037268407,7.35735967935482,0.09407934629150036,0.093530918897801,0,0.08274202168595984,0.09272848515232832,0.00249999999999998,0.002
garch,sparse_tsk,certificate,5,1.0515626521201076,1.0411082548598534,1.0,4.0,0.010815292036868259,0.42440570972225666,10.422959271630535,0.10403765521960942,0.1038267036438004,0,0.09276679541824354,0.102828489422322,0.00249999999999998,0.002
garch,sparse_tsk,validation_rmse,5,1.0449168226505106,1.0925015145378385,3.0,14.4,0.01274405414215676,2.217510040382121,13.602357963410288,0.11132259748907,0.1113123234657795,0,0.10225273780463762,0.10860302894531051,0.00249999999999998,0.002
mackey_glass,dense_tsk,certificate,5,0.06273256205363628,0.06803858876739086,1.0,4.0,0.0007826665199944999,0.29627283326353593,10.294826395171814,0.09357779008287995,0.0932049247271527,0,0.08230706031317404,0.11820444716514086,0.009166666666666639,0.013000000000000001
mackey_glass,dense_tsk,validation_rmse,5,0.04881361611211814,0.05390065642296312,5.8,121.8,0.08032426462089955,38.813589748144146,52.139249776740165,0.2403249469295447,0.2397755373485702,0,0.23522315085705148,0.27554877778328596,0.009166666666666639,0.013000000000000001
mackey_glass,fixed_k_dense_tsk,certificate,5,0.06564343178618551,0.07060612238622141,2.0,8.0,0.00456338166405472,0.880887659248511,9.174693128918362,0.09369132250859664,0.0933706356046518,0,0.08235399790305611,0.14489187567308057,0.009166666666666639,0.013000000000000001
mackey_glass,fixed_k_dense_tsk,validation_rmse,5,0.04809416879291062,0.05269432345002606,8.0,168.0,0.0836327688776765,51.17907529527433,63.63176384830386,0.260144560651164,0.2758135048968652,0,0.2556096308089478,0.3028640481013921,0.009166666666666639,0.013000000000000001
mackey_glass,ridge,certificate,5,0.06273258634357216,0.06803857902727936,1.0,4.0,0.00114747735999804,0.1817729170802028,7.089528196062339,0.08332486842835315,0.0829049403049013,0,0.07198754382281265,0.11295903122850137,0.009166666666666639,0.013000000000000001
mackey_glass,ridge,validation_rmse,5,0.0601021860109324,0.06564966437774734,1.0,20.0,0.00970884177238764,9.521118448442273,16.42887372742441,0.11291819992149192,0.1091044047884297,0,0.10611580515816761,0.16484943757915424,0.009166666666666639,0.013000000000000001
mackey_glass,sparse_tsk,certificate,5,0.06273256205363628,0.06803858876739086,1.0,4.0,0.0007826665199944999,0.29627283326353593,10.294826395171814,0.09357779008287995,0.0932049247271527,0,0.08230706031317404,0.11820444716514086,0.009166666666666639,0.013000000000000001
mackey_glass,sparse_tsk,validation_rmse,5,0.04881361403611088,0.05390065464747203,5.8,121.8,0.08031929216248364,38.81998715144739,52.14564718004341,0.2403306341372773,0.2398039555971492,0,0.23522883806478406,0.2755481861207242,0.009166666666666639,0.013000000000000001
narma10,dense_tsk,certificate,5,0.8219096409783541,0.8139485217869712,1.0,9.6,0.01467927652580952,1.5500319198110284,11.548585481719305,0.1099565166511022,0.1096006140319449,0,0.10038286727414733,0.12346659574924604,0.00966666666666664,0.003
narma10,dense_tsk,validation_rmse,5,0.7857960646392905,0.7655903868357494,1.2,25.2,0.019708112995694062,3.6452621328274146,13.78244513084768,0.1188266700878472,0.1183565582514084,0,0.1119778355055426,0.14655393175120207,0.00966666666666664,0.003
narma10,fixed_k_dense_tsk,certificate,5,0.8917178142530247,0.8752115067435747,2.0,11.6,0.01903722088919256,2.277949912249377,10.571755381919228,0.11165758809660331,0.1112841535351121,0,0.10148471130486347,0.12452375315314941,0.00966666666666664,0.003
narma10,fixed_k_dense_tsk,validation_rmse,5,0.7975080921309817,0.7844625732646435,2.4,43.4,0.03086510252222282,9.338165249438536,17.909229591332366,0.13686163371518378,0.132218023277704,0,0.13075067253106526,0.16323878528756905,0.00966666666666664,0.003
narma10,ridge,certificate,5,0.8996873584040259,0.8704708127862448,1.0,5.4,0.01682348056946616,0.6069034367389798,7.514658715721117,0.10041797337001719,0.09929668810844,0,0.0890806487644767,0.11267187010890185,0.00966666666666664,0.003
narma10,ridge,validation_rmse,5,0.7861057532365722,0.7669985756739092,1.0,21.0,0.01782466020678908,3.018541718063643,9.926296997045778,0.10934326909736206,0.1119025680103414,0,0.0981206226728818,0.1365541887205446,0.00966666666666664,0.003
narma10,sparse_tsk,certificate,5,0.8219096409783541,0.8139485217869712,1.0,9.6,0.01467927652580952,1.5500319198110284,11.548585481719305,0.1099565166511022,0.1096006140319449,0,0.10038286727414733,0.12346659574924604,0.00966666666666664,0.003
narma10,sparse_tsk,validation_rmse,5,0.7857960646392905,0.7655903868357494,1.2,25.2,0.019708112995694062,3.6452621328274146,13.78244513084768,0.1188266700878472,0.1183565582514084,0,0.1119778355055426,0.14655393175120207,0.00966666666666664,0.003
setar,dense_tsk,certificate,5,0.9421592156397516,1.011665453490413,1.0,4.0,0.02570567236995156,0.3647651410088635,10.363318702917141,0.11877415413403489,0.1185718276548576,0,0.10745837385561552,0.12404377759787648,0.00416666666666664,0.005
setar,dense_tsk,validation_rmse,5,0.9147502680015434,0.979836454146301,5.6,22.4,0.033672598077675545,8.963228480130436,22.15025907261446,0.14673751173944,0.1485683675467137,0,0.14106884943666972,0.15461939104717465,0.00416666666666664,0.005
setar,fixed_k_dense_tsk,certificate,5,0.9352794566986375,0.9985719028841483,2.0,8.0,0.02931674989674628,1.3941210268983706,9.687926496568224,0.12013455333059349,0.1201992945554558,0,0.10881814402791386,0.12690760571908583,0.00416666666666664,0.005
setar,fixed_k_dense_tsk,validation_rmse,5,0.9108571395374016,0.9812229951945248,4.6,18.4,0.034405543454365375,6.246523831832723,16.342511970958434,0.1377588808574774,0.1402135058946206,0,0.13069761548234718,0.14470817708527628,0.00416666666666664,0.005
setar,ridge,certificate,5,0.9421591787058157,1.0116653719251785,1.0,4.0,0.02570585184038124,0.3644272062318341,7.27218248521397,0.10849209053924183,0.1082689934307789,0,0.09715476593370133,0.11493886504576109,0.00416666666666664,0.005
setar,ridge,validation_rmse,5,0.9418685084642041,1.0140250464104146,1.0,8.8,0.02767522887378416,1.1571721492382578,8.064927428220395,0.11310395071599948,0.1147692156879315,0,0.10176662611045897,0.11933171942971488,0.00416666666666664,0.005
setar,sparse_tsk,certificate,5,0.9421592156397516,1.011665453490413,1.0,4.0,0.02570567236995156,0.3647651410088635,10.363318702917141,0.11877415413403489,0.1185718276548576,0,0.10745837385561552,0.12404377759787648,0.00416666666666664,0.005
setar,sparse_tsk,validation_rmse,5,0.9144373952734763,0.9803525883180175,4.8,19.2,0.03291508364374226,7.456211352148901,20.088724200184974,0.14254410585145758,0.1445716177541215,0,0.1368754435486873,0.1500685341668213,0.00416666666666664,0.005
structural_break,dense_tsk,certificate,5,1.4590622619453337,1.5704257320327935,1.0,4.0,0.027740899726092116,3.6052054178114092,13.603758979719686,0.12656164656636526,0.1242000866468686,0,0.12014946597378495,0.13494138418238283,0.23866666666666667,0.7155
structural_break,dense_tsk,validation_rmse,5,1.3733441226007197,1.484052634293112,5.6,40.8,0.04211321560308214,43.63625630032164,56.82328689280566,0.2092736115211567,0.1876766312867322,0,0.20473868167894044,0.22545003979670084,0.23866666666666667,0.7155
structural_break,fixed_k_dense_tsk,certificate,5,1.445376265592946,1.5527503027614193,2.0,8.0,0.031878314440234826,6.892308629100294,15.186114098770144,0.13332758333891603,0.1301661941693309,0,0.12652518857559175,0.1434240160602555,0.23866666666666667,0.7155
structural_break,fixed_k_dense_tsk,validation_rmse,5,1.3680112574543917,1.4921748183534045,6.0,57.8,0.0475587480133318,55.053764197441296,66.12015838935092,0.22433707896128435,0.2085604559131058,0,0.2198021491190682,0.2392670779774972,0.23866666666666667,0.7155
structural_break,ridge,certificate,5,1.459062680408494,1.5704260365317881,1.0,4.0,0.03206489693226236,1.6846093809903901,8.592364659972526,0.11922721122187814,0.1169570562436085,0,0.10791441827477759,0.12978653192929349,0.23866666666666667,0.7155
structural_break,ridge,validation_rmse,5,1.4016946637725713,1.5236072987255762,1.0,15.0,0.031370776145447976,15.281920153206404,22.18967543218854,0.1445013837398359,0.1461091578202955,0,0.13883272143706565,0.1577666511101362,0.23866666666666667,0.7155
structural_break,sparse_tsk,certificate,5,1.4590622619453337,1.5704257320327935,1.0,4.0,0.027740899726092116,3.6052054178114092,13.603758979719686,0.12656164656636526,0.1242000866468686,0,0.12014946597378495,0.13494138418238283,0.23866666666666667,0.7155
structural_break,sparse_tsk,validation_rmse,5,1.3733317320574177,1.501884750703943,5.0,47.2,0.04415951423612134,46.39101220702205,59.1621544911701,0.21345233847160086,0.1876755710153019,0,0.20891740862938463,0.22648628407741406,0.23866666666666667,0.7155
