example,rule,lag,antecedent_center_original,antecedent_spread_original,consequent_coefficient_original,local_intercept_original,prior_support,mean_firing
SETAR seed 3001,1,1,-0.0967130935789615,0.11445863237242529,0.45842723827281906,-0.0016250486359894178,143,0.34118895842383024
SETAR seed 3001,1,2,-0.11271400790255288,0.11722062491471671,0.17915390461575809,-0.0016250486359894178,143,0.34118895842383024
SETAR seed 3001,1,3,-0.13397157281337288,0.1413499366211469,0.1185466705525464,-0.0016250486359894178,143,0.34118895842383024
SETAR seed 3001,2,1,-0.40523097800859925,0.1642798903238797,0.5764832833693528,0.004307172433283893,37,0.13098700720129366
SETAR seed 3001,2,2,-0.3261543778388606,0.11928141384878478,0.0672135550798225,0.004307172433283893,37,0.13098700720129366
SETAR seed 3001,2,3,0.15910688413651974,0.14264602849513688,-0.16026545264321376,0.004307172433283893,37,0.13098700720129366
SETAR seed 3001,3,1,-0.30911519614946537,0.14063204255790332,0.6851675584415973,0.062410050260501934,82,0.18461378554478786
SETAR seed 3001,3,2,-0.40151225640465416,0.12295082465312242,0.06681535200055522,0.062410050260501934,82,0.18461378554478786
SETAR seed 3001,3,3,-0.3941310644542123,0.12000130723228639,-0.005631107013740536,0.062410050260501934,82,0.18461378554478786
SETAR seed 3001,4,1,0.21211735233936174,0.1083726665495994,-0.4216524372828815,-0.026630775549849373,74,0.18996743133860947
SETAR seed 3001,4,2,-0.015927580351269024,0.13650128186052526,0.4870412709011424,-0.026630775549849373,74,0.18996743133860947
SETAR seed 3001,4,3,-0.02664214065180566,0.1647998626366213,-0.036772516260353404,-0.026630775549849373,74,0.18996743133860947
SETAR seed 3001,5,1,-0.23642271653372196,0.14800350974592952,0.182921188455423,-0.12176917306704821,61,0.15324281749147872
SETAR seed 3001,5,2,0.20983524355104505,0.11443342564479435,0.0028784415691469984,-0.12176917306704821,61,0.15324281749147872
SETAR seed 3001,5,3,-0.004555578610909591,0.13571569225965532,0.10587156452316722,-0.12176917306704821,61,0.15324281749147872
Tetouan Zone 1,1,1,35376.8578923834,6546.893675693465,0.46295730040352223,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,2,39147.607248614535,3506.8510149063145,-0.22734636330891872,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,3,38588.189917390264,4370.065531587384,0.22978198391376436,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,4,36206.563411882715,4493.539138873982,0.06022837420409815,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,5,33614.408580305215,1885.9641026410306,-0.22375413335050512,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,6,32591.25561715706,2013.4964151719507,0.25938379904190684,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,7,30095.94762572702,3901.971436612535,-0.06661757492373861,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,8,26547.92208440329,4253.635729388535,-0.02163676583454712,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,9,23646.102593004114,2341.6006186785285,-0.018552360181284706,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,10,22934.266214489024,1266.6487052942964,-0.2416700550004795,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,11,24907.512544468453,2163.845032063083,0.09055179511655548,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,1,12,29471.91034272291,5481.516310772736,0.6408571591732954,-2494.7955064796406,216,0.25528457716749
Tetouan Zone 1,2,1,30907.936987530862,3892.023733503737,0.9269784358549654,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,2,27130.5074338503,4252.521140808533,-0.19811294987880076,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,3,23858.52439471065,2334.198077202639,0.14790785741322973,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,4,22599.45032366512,1233.9093034700772,-0.015141785803741238,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,5,23674.13909655478,2028.2365939973033,-0.0076506952516000115,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,6,27919.09884662037,5400.387541543638,0.09489207119916909,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,7,34373.66394800926,6517.380753805456,0.16443871496967719,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,8,39693.42918962963,3505.0644182728734,-0.11163411190886843,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,9,39111.296225246915,4399.1902455479685,-0.06308029918139015,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,10,36272.08662358411,4515.635606955866,-0.10142880498771868,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,11,33637.75480423226,1897.8396688703322,0.06616348501663585,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,2,12,33224.985650462964,2021.4012293949374,0.10272204659245526,2504.1936495018126,216,0.2504299498288897
Tetouan Zone 1,3,1,35225.024058137256,4472.043157588053,0.17040019329608055,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,2,33487.93350148842,1841.246335995025,0.35644021083135136,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,3,33128.58728747326,1947.0687393308763,0.10956726001226183,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,4,30210.334550619427,3876.2289116720267,0.042892749574118684,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,5,26175.721259429585,4216.692044513881,0.1427505972828647,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,6,23289.04793596702,2309.245583557301,-0.21125721559533595,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,7,22386.247253609625,1226.5157829683596,-0.20401286000021876,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,8,23883.32149738859,2035.7307443039676,0.10058673911619483,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,9,28788.324665142605,5402.064337854933,0.22086383099853305,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,10,35718.833447424244,6493.441948857143,-0.4661003069350492,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,11,40481.63033653743,3485.3066351013163,0.07111899583192588,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,3,12,38712.68413605615,4406.030482043027,0.5419538075416959,5315.116923308109,214,0.24512732891705727
Tetouan Zone 1,4,1,22599.45032366512,1233.9093034700786,0.8878983105133488,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,2,23674.139096554783,2028.2365939973045,-0.22419271843515792,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,3,27919.09884662037,5400.387541543639,0.11381427026940533,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,4,34373.663948009256,6517.380753805456,-0.2993000099880391,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,5,39693.42918962963,3505.0644182728724,0.1985351995392426,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,6,39111.296225246915,4399.190245547969,0.014884166953258724,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,7,36272.08662358411,4515.635606955866,0.1542660424177847,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,8,33637.75480423225,1897.8396688703322,-0.058719003034753615,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,9,33224.985650462964,2021.401229394938,-0.04202568386818478,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,10,30840.6066965625,3937.525344449809,-0.2275047910637316,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,11,27070.489439020057,4268.214299967043,0.0864830872773335,166.77074886733317,216,0.24915814408656298
Tetouan Zone 1,4,12,23807.573591222997,2349.964311529274,0.4591319266435842,166.77074886733317,216,0.24915814408656298
